Accident Date/Time,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations
2014-05-07 05:30:00,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",WOOD STATION,ONSHORE,UNDERGROUND,CRUDE OIL,,,SEMINOLE,GAINES,TX,32.75619,-102.71984,CORROSION,INTERNAL,10.0,,10.0,0.0,NO,NO,,,,0.0
2014-05-07 16:15:00,SKEISUI SPECIALTY CHEMICALS AMERICA,SEKISUI VAM PIPELINE,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",OTHER,VINYL ACETATE MONOMER,PASADENA,HARRIS,TX,29.71927,-95.1986,CORROSION,EXTERNAL,744.05,,298.78,445.27,NO,NO,YES,2014-05-07 19:23:00,2014-06-17 08:00:00,0.0
2014-05-11 16:30:00,EXPLORER PIPELINE CO,GREENVILLE TANK FARM,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),,CADDO MILLS,HUNT,TX,33.03568558,-96.20079871,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.2,,0.2,0.0,NO,NO,NO,,,0.0
2014-05-12 06:16:00,"GEL OFFSHORE PIPELINE, LLC",,OFFSHORE,,CRUDE OIL,,,,,,28.260372,-92.250136,CORROSION,EXTERNAL,0.1,,0.0,0.1,NO,NO,YES,2014-05-12 06:30:00,2014-06-24 14:40:00,0.0
2014-05-12 13:18:00,PLANTATION PIPE LINE CO,CNG PIPELINE/ANDERSON PUMPING STATION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,ANDERSON,ANDERSON,SC,34.481971,-82.60639,INCORRECT OPERATION,INCORRECT INSTALLATION,608.0,,163.0,445.0,NO,NO,YES,2014-05-12 13:18:00,2014-05-13 18:28:00,0.0
2014-05-13 05:50:00,"PLAINS PIPELINE, L.P.",EUCUTTA STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,WAYNE,MS,31.819742,-88.903921,CORROSION,INTERNAL,4.0,,4.0,0.0,NO,NO,YES,2014-05-13 05:59:00,2014-05-13 15:57:00,
2014-05-13 13:00:00,"PLAINS PIPELINE, L.P.",LAS FLORES STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,SANTA BARBARA,CA,34.478859,-120.014772,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.26,,0.26,0.0,NO,NO,NO,,,0.0
2014-05-14 08:00:00,EXPLORER PIPELINE CO,"VINITA, OK PUMP STATION",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),,AFTON,DELAWARE,OK,36.64234919,-94.9731575,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,2.5,,2.5,0.0,NO,NO,NO,,,0.0
2014-05-15 00:13:00,"PLAINS PIPELINE, L.P.",LA PUMP STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,LOS ANGELES,CA,34.146191,-118.272341,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,331.0,,331.0,0.0,NO,NO,YES,2014-05-15 00:35:00,2014-05-17 12:00:00,
2014-05-18 09:50:00,"MAGELLAN PIPELINE COMPANY, LP",KANSAS CITY TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,KANSAS CITY,WYANDOTTE,KS,39.13839,-94.60294,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.6,,0.0,0.6,NO,NO,NO,,,0.0
